Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
028511-00,Herbizid,Thiencarbazone,37.5,g/kg,Methylester-Na,39.6,g/kg,0,2
006193-66,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-66,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
008698-61,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
006220-62,Herbizid,Propyzamid,400,g/l,"",,"",0,3
00A370-00,Herbizid,Glyphosat,540,g/l,IPA/K-Salz,698.5,g/l,0,9
00B264-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
008819-00,Herbizid,Fluroxypyr,225,g/l,1-Methyl-heptylester,324,g/l,0,4
008819-00,Herbizid,Metsulfuron,8.67,g/l,Methylester,9,g/l,0,2
00A475-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
043753-61,Herbizid,Chlortoluron,700,g/l,"",,"",0,
00A607-00,Herbizid,Mefenpyr,76.47,g/kg,Diethylester,90,g/kg,0,
00A607-00,Herbizid,Iodosulfuron,5.59,g/kg,Methylester-Na,6,g/kg,0,2
00A607-00,Herbizid,Mesosulfuron,29.16,g/kg,Methylester,30,g/kg,0,2
008357-60,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A794-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
00A559-60,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0,
00A559-60,Herbizid,Iodosulfuron,5.6,g/kg,Methylester-Na,6,g/kg,0,2
00A559-60,Herbizid,Mesosulfuron,29.2,g/kg,Methylester,30,g/kg,0,2
038651-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
038651-60,Herbizid,Mesotrione,100,g/l,"",,"",0,27
